"Class","Method","URI","Host-Header","Host","Connection","Accept","Accept-Charset","Accept-Language","Cache-control","Cookie","Pragma","User-Agent","Content-Length","Content-Type","POST-Data","GET-Query"
"Valid","PUT","/hrsxoxas4Nnwlun0/ntihrNdso5rastim6p/ctIisonboln/deletelyOrCKk/kwnAsw1tstSi/rsuxieevwhesincejs/o8WUB/sgrenrs.jpg","HTTP/1.1","214.138.208.133:80","close","text/*","*","pon-neaqrTao;q=0.6, nneizae-m;q=0.9, 0SrExh-i0ngP;q=0.2, ebseE2-uugt;q=0.7","m1aer='fnxe'","h55uu=tore9e$tt;2cGjV=rlea;f5attD=88512;adoetn=tZ2;UhpZEma04winntO=$IaEattkhiat$thn","no-cache","2lp6a (dTXOaxVWDh; hFpVefTq)","120","application/x-www-form-urlencoded","cinnunssopTfyu=497&heelsirgahtadh=inisa&vQiWvf22xa=itn&yiieleiofnnrg=496524&tOts2yb=scripth1e&AIsesrl3i=qt<j mailuthif",""
"Valid","POST","/nmTpscM/aPDZrT7zmUsUik/a9/eye.OH/B-c1dRdcmddn37vJnph-.shtml","HTTP/1.1","225.170.88.210:00","keep-alive","*/*","us-ascii, utf-7, shift_jis, windows-1255","aebadtn-ber83;q=0.9, 1-lusghn;q=0.6, hkooeAad-fkwiina, tFojm-mib","only-if-cached","0Ym3SAyOK=57219326;dana=886;dtb8ydr9qp=$naotehewc<ieraoGede;bfsa8nte6eEtr=suhw","8=4o0eocra","mmnta2","36","application/x-www-form-urlencoded","tamtdr='ue'n&leznraodpii5e=t_VG6",""
"Valid","GET","/rrBGGZbN-AufnXdZ/itj/g1x5ro/eQR/2SFxq/srtoucootuD32nnvae/MdrEZ/lqcnerymiaIea9/a18ln-4bz5MZeA-k/rfU0Rqbo1jdoE_WXx4q/oaqareedeRRdH.cgi","HTTP/1.0","www.tiasbitc.be","keep-alive","video/quicktime;q=0.7","utf-8","*","g=Ibtcsc","@GNr=wu0e1kF;oewMoDoeBc=sf;nsiobOoesa2m;higdi=0990067847","apoADsdN=mrge","Mozilla/8.4 (X11; U; Linux i586 6.2; xr-5t; rv:6.1.1) Gecko/09032761","","","","ohIoaIn050Dszte=3&atRy81o=Ogidefueoiu&5h0o822u=1adutet6frochtc"
"Valid","POST","/thsohrl8i/t3NFW@aPE5c/shMP8.qog8/lisnciNixesfxfeimHsa/6rzebediiezufr/G09K/3TMom.GeqLQ0VC86/eqtovr0in3.asmx","HTTP/1.1","www.ybrIehsaoe.com","close","image/gif;q=0.0","x-mac-icelandic, iso-2022-kr;q=0.9","elxgni-z5hinh;q=0.5, penM-9s, lhabwol-Iutup;q=0.2, sdnrbii-g","min-fresh=09","aa7nsnmsap=iojyhnrmrvitu ;BCKOidD=scriptt0;vin=oNidsmi5cHahFns;koheasietlCo=oWn;3eTe=615;jFIbin6hqll-=605","sreon6=sfennfc","Mozilla/3.4 (Windows; U; Windows NT 7.1; ex-re; rv:2.9.9) Gecko/14302735","12","application/x-www-form-urlencoded","geaheeBRn=pc",""
"Valid","GET","/d5QYx-cXHj5vA/ohzIfyUGAVDY50el1E/3kahmR/a2CCPlV-/LaruavedsE/xgeHcPvZltyFJXA/e2ifV/tapreX/IW1XtBYCwindow.openjksMVS/qlneejt/ia.gif","HTTP/1.0","www.naer.biz","keep-alive","*/*","iso-8859-7;q=0.4, x-mac-turkish;q=0.2","*;q=0.7","no-cache","eaac3sp=iM5Klisgnvjc;ih9hc=81715630;t8ttNo=46;5dlodvfAeefo=a5includeconnecteed3eaos;snb=fl8 ;aw7siMzdropMk=soNu","c='eosqiree'","eeOy69d0/4.0.4","","","","uoeesnto=aipnas1tr3a7&cjn=meta+r4&ooNdqsadn=xYUWb&0heHaraeuttyid=4&dIbnl=628&a7miSnacntagi=1436557&bak2ehosEnnrne=sE&O6wBBeR=Rx9ser"
"Valid","GET","/teenhnch/ffgW6hJCa/gteBryt/Y3HPSwL9kNBscript.gif","HTTP/1.0","210.54.194.14","close","image/*;q=0.0","*;q=0.9","*;q=0.1","no-store","4s7etyg=DLaes jSin; aa:Per;rhe1EguinqOT=LtatI;T3shutdownCE=vbscriptotojlphphtaccesbYqCdd3l letc;ufeoA=048;oeTsOo=s12JN;Iaoriug=81Wsrr566n","murwnch=hyeae","Mozilla/6.5 (Machintosh; U; PPC 0.9; he-xe; rv:4.9.0) Gecko/82762195","","","","L6zjQhtacces=n5et49s&i8seeNsrwile=0&mlmoq0str=+L%7C&dNpsirntbSdoUss=nIFvhTsV-_Y&hO4h0dcoB=%27%25uetdzBnei&OlocnSxlcLejO=eCdq_Cfm6&waoii5hoirefr=hnuh&2btnoraale4iit6=6&aasdgisdt0a=35579802&f8thenijo2i=4351064834&ntialfaem=istmptto%40ne7s&wopenhavingTG9MuX=scriptEwiastiiAdke&oerecxleocrx=l6ise&srifthQostpylos=cqRIGtk%40p"
"Valid","POST","/XNyssai9a7ek9Rydgo/6haDtmpfae8/rwQx35X8WshIBgG_51/prhP95hR_6/s86HUo2224P@.y9Ni0/gotaaRaeza/hks/ldmort3omo30Er1ma/8GH8d.php","HTTP/1.1","116.162.169.190","keep-alive","application/x-tar","cp-936","*;q=0.4","min-fresh=5","ehH1tn1atrisnsx=qs;IdI0stdinC=96315328;RAabicpoly9wn=tWs;ersm77okse=or:shutdownnc gnisr ;uxl","ghE=i31Ks","Mozilla/6.8 (compatible; risry; Win 9x; iqseiieho; teasffr; hohe)","209","application/x-www-form-urlencoded","e29ebAteqooie=nwlipaSnfsic&IynatitlStAc=6r&au=2&hy=gtRarzBk&xoiterta8i=ajri8i6creirr1S&c7yi6agot=8vyaqth&ilta=ikt&HKUm=io&afbUi0xhcrem=hntqhr&lreemw=55924136&r9pbxws=Mh&AIddtbmsa=gnYRgUe&bsamq5xterm@u=s7adminu",""
"Valid","POST","/y-yBxiK@Zf30ZT.jGOi/eAKvq@7VJDOV/ihetEgcosshl1i2a/tzzllawJ3v-k.Mu3/nm6OG7rnELMh/iDinJVe_FLM75Kr-o0/gbiee3on9rn.jsp","HTTP/1.1","51.113.235.157","enta","*/*","shift_jis;q=0.7, ks_c_5601-1987","*","min-fresh=58178","Ewerseitte7=ttnCE","E='enihy'","Mozilla/3.7 (Machintosh; U; Mac OS X 0.9; qe-io; rv:7.6.7) Gecko/75550203","183","application/x-www-form-urlencoded","rbncnat4fo=eugzertx3nar&TzzJ=f1bin&slaatle4gchbGa9=omii&lLSXopena5c=7668365631&martkbgeib=iJf4uaf&taeEMc=218&npNorOs5ecoTfi=$cat&nSssi=ee8mebarobiiae&t9dpkdtp3=326803&intdatra=52565",""
"Valid","GET","/a2bCuu6/2ioetxdtod4/Bwceeza5atsr/sgY1Q/g7gola/ejy0Hc/rl/CVHs/T9WkY/scriptCS4kF/t@SG.nsf","HTTP/1.1","245.169.65.65","keep-alive","*/*","x-mac-roman, x-mac-turkish;q=0.4","miRot2hT-hsawiazt, eEi2-e;q=0.2, ihisms-tNHlni;q=0.4, eu-oiNBh;q=0.9","only-if-cached","nnuidou15ste=sw;l5=e 14and@xo~e;patett=e4WidImpSW","hs='tte'","Mozilla/8.0 (Machintosh; U; PPC 9.2; a5-ws; rv:2.4.2) Gecko/37347191","","","","3wp-_8-UEm=sIuR&sFgta0h=Smhst9n&70gu6fwpo@2O=aIsga&7oaori3dhyfats=85324540&_bqbrz=%7Cpcscriptt%3A%7Enph-osystemscriptheuTs"
"Valid","GET","/tib/Rzilcwri/yoat6i3aosk9emyq7u/2TFKdE1nEg1l9Mp0Wn2.dll","HTTP/1.1","164.186.4.215:3","XmQtlh2i","*/*;q=0.2","*;q=0.4","*;q=0.6","min-fresh=5","3gslYitioe=41395","aepsiD9e=lmsit","eifrfd3cr/4.9.1.8.1","","","","4xbbteoos9g=%7CE1o&aLxnbtkUs1n=ibccL&mloedvcEtly3f=55&tmgaI8ienB=mMj.&Rat5i5tr2oeiae=mrtv"
"Valid","GET","/eAC2fTMfBkwA-r/7hoeen9YmG/tiheao.asp","HTTP/1.0","172.255.188.219","3isroe0d","*/*","*","*","tUm=r","Dl7rayiscolt=2eq]woxsmowhereSoH;tW=pgaa9veccou;xhmerrnaIda=sltz;kdWemWvbscript=oTMlVfH;sTeeCseAnv=7t0i9Ooahmorr","no-cache","Mozilla/3.5 (Machintosh; U; PPC Mac OS X 5.4; Ii-4e; rv:9.4.1) Gecko/45164171","","","","8pPJKe.D=itmeeoea%40a&ilhunsl=n6&maim=75748&oeEso0i6=28903&hwgetLb=chttpsj&gtn=9371671&iwbbe4esntanwi=819"
"Valid","GET","/o_jTCJaVds6MY/Sd-7t0%ui8UinputDjJor/emn4OtKAVhXPCM/VKW-E_positionNGa/8eiTs5e5t.asp","HTTP/1.1","87.5.102.13","boduk","*/*","*;q=0.1","*;q=0.1","no-cache","oshe=rgUxJCJzD598;rpaaeisonToe=68964","ntO49h=aosf","Mozilla/0.4 (X11; U; Open BSD i586 9.4; ba-rr; rv:0.9.5) Gecko/49493822","","","",""
"Valid","GET","/sra5emtpusweioat2696/aBFotz-e/tnpi.gif","HTTP/1.1","160.217.86.152:80","anetam","*/*;q=0.5","*","c-di, e3tae8bm-yhr;q=0.0, sepmrhU-om2es, slhaNp3a-emNEa;q=0.0","max-stale","ditFortknekl=Ibdpseehroeei;pTtvhwva9e=9522;ldate=gdeleteeql","no-cache","Mozilla/0.1 (X11; U; Solaris 1.3; d7-ic; rv:1.2.4) Gecko/07715494","","","","Eitnrrjts3=jhneshIgx5ptTs&iho=m7lxmgttahuooetwar&woiiUApyot5a=tLzZXB0&da=oBEDfl_h%40&koL2ipezwgssrA=347845056&xenIe=izCr&uLMaeohttaafia=l+uno3pzM&tssgeihc7trtn7=7673463"
"Valid","POST","/snuuep/tsi/eqaeqg7ynsOlj/eB_tJga8/vYE..asp","HTTP/1.0","150.224.150.252:80","close","video/mpeg, video/*;q=0.6","koi8;q=0.0, x-mac-chinesesimp;q=0.4, big5","*;q=0.8","no-transform","eeryat=476;ragfet4itRa7eoa=6;eesnqT=dRD;7lccohU8o=ezej0aBIS","rttnhsdt=2ar8","Mozilla/1.2 (Machintosh; U; PPC 0.5; v8-uO; rv:9.5.6) Gecko/62795113","91","application/x-www-form-urlencoded","runmnzk=x&7shutdownystdinKQ0jOtyb=59&ian=042&3ncMJ2EDDfK=78226&Mla9=5&sr=5&dstomatod=521503",""
"Valid","GET","/qou/e-n1fWVes/ODopen2dI/3VFzAhttpsD1CH/u4epbe.js","HTTP/1.0","216.216.243.49","close","audio/basic;q=0.2, application/postscript;q=0.2, text/*","*;q=0.6","*","max-age=4","uvtareMr9nyoiri=esD","no-cache","SqseeKari4twI","","","",""
"Valid","POST","/UlthtdrcpYkoi2cLdiv/gVHp/scNiorld/ctV3EJpositionmxSC/ea/YBccconnect@2u/o6ieaoeqar/twgeaini4tdaeH/E0sCihpradibadtehcQ/dYv8qxKLFDdeIYpOo2cF.html","HTTP/1.0","110.238.29.169:80","keep-alive","*/*;q=0.9","x-mac-cyrillic, x-mac-greek;q=0.1","*","no-transform","zeexme9nuetentn=pf3tgnR;gpYectlS2piry=t;hucusisd=ps+6sg'hyenehtt9htaccese;w2zhttpsSscriptkMiframe0=Wjrwoni9Oxt;au9d7Tnjeubeua= or","uisrui='lf7aeoy'","Mozilla/7.5 (compatible; MSIE 3.8; Open BSD i586; qdnrutsn)","166","application/x-www-form-urlencoded","qD5f2mVstdin=ChutAEdOrtdeiars&X1AM_OU= honradeletesldhps&aNtevf=e+h&ImBxBnullKOWAO= deia&ps=141&lcopyozTUMYR=cksroU&liooaa2ptlesn=<Rne&tcuekrgn=eHty&etunne=772841",""
