detected_language,label,is_unsafe,payload_length,num_special_chars,url_depth,lang_match,precision_m1,recall_m1,fpr_m1,fnr_m1
5,0,0,241,0,5,1,1.0,1.0,0.0,0.0
5,0,0,244,0,5,1,1.0,1.0,0.0,0.0
5,0,0,248,0,5,1,1.0,1.0,0.0,0.0
5,0,0,245,0,5,1,1.0,1.0,0.0,0.0
10,0,0,247,0,5,0,1.0,1.0,0.0,0.0
4,0,0,245,0,5,1,1.0,1.0,0.0,0.0
10,0,0,249,0,5,0,1.0,1.0,0.0,0.0
5,0,0,253,0,5,1,1.0,1.0,0.0,0.0
5,0,0,250,0,5,1,1.0,1.0,0.0,0.0
5,0,0,254,0,5,1,1.0,1.0,0.0,0.0
5,0,0,256,0,5,1,1.0,1.0,0.0,0.0
5,0,0,252,0,5,1,1.0,1.0,0.0,0.0
5,0,0,257,0,5,1,1.0,1.0,0.0,0.0
10,0,0,251,0,5,0,1.0,1.0,0.0,0.0
10,0,0,254,0,5,0,1.0,1.0,0.0,0.0
5,0,0,258,0,5,1,1.0,1.0,0.0,0.0
5,0,0,255,0,5,1,1.0,1.0,0.0,0.0
5,0,0,251,0,5,1,1.0,1.0,0.0,0.0
5,0,0,260,0,5,1,1.0,1.0,0.0,0.0
5,0,0,261,0,5,1,1.0,1.0,0.0,0.0
5,0,0,259,0,5,1,1.0,1.0,0.0,0.0
10,0,0,257,0,5,0,1.0,1.0,0.0,0.0
10,0,0,263,0,5,0,1.0,1.0,0.0,0.0
5,0,0,263,0,5,1,1.0,1.0,0.0,0.0
4,0,0,260,0,5,1,1.0,1.0,0.0,0.0
4,0,0,258,0,5,1,1.0,1.0,0.0,0.0
5,0,0,265,0,5,1,1.0,1.0,0.0,0.0
4,0,0,261,0,5,1,1.0,1.0,0.0,0.0
5,0,0,264,0,5,1,1.0,1.0,0.0,0.0
5,0,0,271,0,5,1,1.0,1.0,0.0,0.0
5,0,0,272,0,5,1,1.0,1.0,0.0,0.0
5,0,0,275,0,5,1,1.0,1.0,0.0,0.0
4,0,0,273,0,5,1,1.0,1.0,0.0,0.0
5,0,0,279,0,5,1,1.0,1.0,0.0,0.0
10,0,0,285,0,5,0,1.0,1.0,0.0,0.0
5,0,0,282,0,5,1,1.0,1.0,0.0,0.0
5,0,0,278,0,5,1,1.0,1.0,0.0,0.0
4,0,0,284,0,5,1,1.0,1.0,0.0,0.0
5,0,0,284,0,5,1,1.0,1.0,0.0,0.0
5,0,0,286,0,5,1,1.0,1.0,0.0,0.0
5,0,0,294,0,5,1,1.0,1.0,0.0,0.0
5,0,0,221,0,5,1,1.0,1.0,0.0,0.0
5,0,0,222,0,5,1,1.0,1.0,0.0,0.0
5,0,0,229,0,5,1,1.0,1.0,0.0,0.0
4,0,0,225,0,5,1,1.0,1.0,0.0,0.0
5,0,0,223,0,5,1,1.0,1.0,0.0,0.0
5,0,0,224,0,5,1,1.0,1.0,0.0,0.0
5,0,0,227,0,5,1,1.0,1.0,0.0,0.0
5,0,0,225,0,5,1,1.0,1.0,0.0,0.0
5,0,0,228,0,5,1,1.0,1.0,0.0,0.0
5,0,0,230,0,5,1,1.0,1.0,0.0,0.0
5,0,0,235,0,5,1,1.0,1.0,0.0,0.0
5,0,0,232,0,5,1,1.0,1.0,0.0,0.0
10,0,0,235,0,5,0,1.0,1.0,0.0,0.0
4,0,0,231,0,5,1,1.0,1.0,0.0,0.0
4,0,0,229,0,5,1,1.0,1.0,0.0,0.0
5,0,0,234,0,5,1,1.0,1.0,0.0,0.0
5,0,0,236,0,5,1,1.0,1.0,0.0,0.0
4,0,0,236,0,5,1,1.0,1.0,0.0,0.0
10,0,0,234,0,5,0,1.0,1.0,0.0,0.0
5,0,0,239,0,5,1,1.0,1.0,0.0,0.0
5,0,0,242,0,5,1,1.0,1.0,0.0,0.0
4,0,0,240,0,5,1,1.0,1.0,0.0,0.0
4,0,0,237,0,5,1,1.0,1.0,0.0,0.0
10,0,0,239,0,5,0,1.0,1.0,0.0,0.0
4,0,0,241,0,5,1,1.0,1.0,0.0,0.0
4,0,0,242,0,5,1,1.0,1.0,0.0,0.0
5,0,0,246,0,5,1,1.0,1.0,0.0,0.0
10,0,0,242,0,5,0,1.0,1.0,0.0,0.0
5,0,0,247,0,5,1,1.0,1.0,0.0,0.0
10,0,0,243,0,5,0,1.0,1.0,0.0,0.0
4,0,0,247,0,5,1,1.0,1.0,0.0,0.0
10,0,0,241,0,5,0,1.0,1.0,0.0,0.0
4,0,0,244,0,5,1,1.0,1.0,0.0,0.0
5,0,0,249,0,5,1,1.0,1.0,0.0,0.0
10,0,0,244,0,5,0,1.0,1.0,0.0,0.0
4,0,0,243,0,5,1,1.0,1.0,0.0,0.0
10,0,0,248,0,5,0,1.0,1.0,0.0,0.0
4,0,0,251,0,5,1,1.0,1.0,0.0,0.0
4,0,0,249,0,5,1,1.0,1.0,0.0,0.0
4,0,0,253,0,5,1,1.0,1.0,0.0,0.0
4,0,0,248,0,5,1,1.0,1.0,0.0,0.0
4,0,0,250,0,5,1,1.0,1.0,0.0,0.0
10,0,0,250,0,5,0,1.0,1.0,0.0,0.0
4,0,0,252,0,5,1,1.0,1.0,0.0,0.0
4,0,0,256,0,5,1,1.0,1.0,0.0,0.0
4,0,0,255,0,5,1,1.0,1.0,0.0,0.0
4,0,0,254,0,5,1,1.0,1.0,0.0,0.0
4,0,0,262,0,5,1,1.0,1.0,0.0,0.0
4,0,0,259,0,5,1,1.0,1.0,0.0,0.0
10,0,0,258,0,5,0,1.0,1.0,0.0,0.0
10,0,0,256,0,5,0,1.0,1.0,0.0,0.0
10,0,0,259,0,5,0,1.0,1.0,0.0,0.0
10,0,0,265,0,5,0,1.0,1.0,0.0,0.0
10,0,0,261,0,5,0,1.0,1.0,0.0,0.0
4,0,0,257,0,5,1,1.0,1.0,0.0,0.0
10,0,0,262,0,5,0,1.0,1.0,0.0,0.0
4,0,0,264,0,5,1,1.0,1.0,0.0,0.0
4,0,0,263,0,5,1,1.0,1.0,0.0,0.0
10,0,0,264,0,5,0,1.0,1.0,0.0,0.0
4,0,0,269,0,5,1,1.0,1.0,0.0,0.0
5,0,0,269,0,5,1,1.0,1.0,0.0,0.0
5,0,0,273,0,5,1,1.0,1.0,0.0,0.0
4,0,0,266,0,5,1,1.0,1.0,0.0,0.0
4,0,0,268,0,5,1,1.0,1.0,0.0,0.0
10,0,0,273,0,5,0,1.0,1.0,0.0,0.0
5,0,0,274,0,5,1,1.0,1.0,0.0,0.0
10,0,0,270,0,5,0,1.0,1.0,0.0,0.0
4,0,0,275,0,5,1,1.0,1.0,0.0,0.0
5,0,0,277,0,5,1,1.0,1.0,0.0,0.0
5,0,0,276,0,5,1,1.0,1.0,0.0,0.0
4,0,0,271,0,5,1,1.0,1.0,0.0,0.0
5,0,0,281,0,5,1,1.0,1.0,0.0,0.0
4,0,0,279,0,5,1,1.0,1.0,0.0,0.0
4,0,0,287,0,5,1,1.0,1.0,0.0,0.0
4,0,0,282,0,5,1,1.0,1.0,0.0,0.0
5,0,0,290,0,5,1,1.0,1.0,0.0,0.0
5,0,0,285,0,5,1,1.0,1.0,0.0,0.0
5,0,0,296,0,5,1,1.0,1.0,0.0,0.0
5,0,0,291,0,5,1,1.0,1.0,0.0,0.0
5,0,0,292,0,5,1,1.0,1.0,0.0,0.0
5,0,0,302,0,5,1,1.0,1.0,0.0,0.0
2,0,0,0,0,5,0,1.0,1.0,0.0,0.0
4,0,0,68,0,5,1,1.0,1.0,0.0,0.0
10,0,0,4,0,5,0,1.0,1.0,0.0,0.0
10,0,0,33,0,5,0,1.0,1.0,0.0,0.0
10,0,0,17,0,5,0,1.0,1.0,0.0,0.0
2,0,0,0,0,6,0,1.0,1.0,0.0,0.0
2,0,0,0,0,4,0,1.0,1.0,0.0,0.0
4,0,0,72,0,5,1,1.0,1.0,0.0,0.0
4,0,0,71,0,5,1,1.0,1.0,0.0,0.0
4,0,0,67,0,5,1,1.0,1.0,0.0,0.0
5,0,0,38,0,5,1,1.0,1.0,0.0,0.0
4,0,0,74,0,5,1,1.0,1.0,0.0,0.0
4,0,0,37,0,5,1,1.0,1.0,0.0,0.0
5,0,0,37,0,5,1,1.0,1.0,0.0,0.0
5,0,0,58,0,5,1,1.0,1.0,0.0,0.0
10,0,0,237,0,5,0,1.0,1.0,0.0,0.0
4,0,0,73,0,5,1,1.0,1.0,0.0,0.0
5,0,0,55,0,5,1,1.0,1.0,0.0,0.0
4,0,0,75,0,5,1,1.0,1.0,0.0,0.0
4,0,0,270,0,5,1,1.0,1.0,0.0,0.0
4,0,0,66,0,5,1,1.0,1.0,0.0,0.0
5,0,0,56,0,5,1,1.0,1.0,0.0,0.0
10,0,0,61,0,5,0,1.0,1.0,0.0,0.0
4,0,0,235,0,5,1,1.0,1.0,0.0,0.0
4,0,0,70,0,5,1,1.0,1.0,0.0,0.0
5,0,0,57,0,5,1,1.0,1.0,0.0,0.0
5,0,0,54,0,5,1,1.0,1.0,0.0,0.0
10,0,0,59,0,5,0,1.0,1.0,0.0,0.0
4,0,0,291,0,5,1,1.0,1.0,0.0,0.0
10,0,0,60,0,5,0,1.0,1.0,0.0,0.0
4,0,0,224,0,5,1,1.0,1.0,0.0,0.0
10,0,0,37,0,5,0,1.0,1.0,0.0,0.0
10,0,0,58,0,5,0,1.0,1.0,0.0,0.0
4,0,0,267,0,5,1,1.0,1.0,0.0,0.0
4,0,0,239,0,5,1,1.0,1.0,0.0,0.0
10,0,0,266,0,5,0,1.0,1.0,0.0,0.0
4,0,0,303,0,5,1,1.0,1.0,0.0,0.0
4,0,0,228,0,5,1,1.0,1.0,0.0,0.0
4,0,0,288,0,5,1,1.0,1.0,0.0,0.0
10,0,0,255,0,5,0,1.0,1.0,0.0,0.0
4,0,0,62,0,5,1,1.0,1.0,0.0,0.0
4,0,0,232,0,5,1,1.0,1.0,0.0,0.0
4,0,0,233,0,5,1,1.0,1.0,0.0,0.0
10,0,0,233,0,5,0,1.0,1.0,0.0,0.0
4,0,0,285,0,5,1,1.0,1.0,0.0,0.0
5,0,0,53,0,5,1,1.0,1.0,0.0,0.0
10,0,0,271,0,5,0,1.0,1.0,0.0,0.0
4,0,0,64,0,5,1,1.0,1.0,0.0,0.0
5,0,0,69,0,5,1,1.0,1.0,0.0,0.0
10,0,0,280,0,5,0,1.0,1.0,0.0,0.0
10,0,0,54,0,5,0,1.0,1.0,0.0,0.0
10,0,0,245,0,5,0,1.0,1.0,0.0,0.0
4,0,0,60,0,5,1,1.0,1.0,0.0,0.0
3,0,0,60,0,5,0,1.0,1.0,0.0,0.0
10,0,0,236,0,5,0,1.0,1.0,0.0,0.0
4,0,0,238,0,5,1,1.0,1.0,0.0,0.0
4,0,0,59,0,5,1,1.0,1.0,0.0,0.0
5,0,0,287,0,5,1,1.0,1.0,0.0,0.0
10,0,0,291,0,5,0,1.0,1.0,0.0,0.0
10,0,0,62,0,5,0,1.0,1.0,0.0,0.0
10,0,0,260,0,5,0,1.0,1.0,0.0,0.0
10,0,0,63,0,5,0,1.0,1.0,0.0,0.0
5,0,0,226,0,5,1,1.0,1.0,0.0,0.0
3,0,0,56,0,5,0,1.0,1.0,0.0,0.0
10,0,0,56,0,5,0,1.0,1.0,0.0,0.0
10,0,0,64,0,5,0,1.0,1.0,0.0,0.0
10,0,0,252,0,5,0,1.0,1.0,0.0,0.0
4,0,0,246,0,5,1,1.0,1.0,0.0,0.0
4,0,0,280,0,5,1,1.0,1.0,0.0,0.0
3,0,0,52,0,5,0,1.0,1.0,0.0,0.0
4,0,0,272,0,5,1,1.0,1.0,0.0,0.0
5,0,0,217,0,5,1,1.0,1.0,0.0,0.0
10,0,0,272,0,5,0,1.0,1.0,0.0,0.0
5,0,0,220,0,5,1,1.0,1.0,0.0,0.0
3,0,0,64,0,5,0,1.0,1.0,0.0,0.0
3,0,0,62,0,5,0,1.0,1.0,0.0,0.0
4,0,0,265,0,5,1,1.0,1.0,0.0,0.0
10,0,0,36,0,5,0,1.0,1.0,0.0,0.0
5,0,0,73,0,5,1,1.0,1.0,0.0,0.0
4,0,0,277,0,5,1,1.0,1.0,0.0,0.0
5,0,0,307,0,5,1,1.0,1.0,0.0,0.0
4,0,0,35,0,5,1,1.0,1.0,0.0,0.0
5,0,0,288,0,5,1,1.0,1.0,0.0,0.0
5,0,0,297,0,5,1,1.0,1.0,0.0,0.0
0,0,0,247,0,5,0,1.0,1.0,0.0,0.0
5,0,0,52,0,5,1,1.0,1.0,0.0,0.0
10,0,0,223,0,5,0,1.0,1.0,0.0,0.0
4,0,0,283,0,5,1,1.0,1.0,0.0,0.0
10,0,0,246,0,5,0,1.0,1.0,0.0,0.0
10,0,0,269,0,5,0,1.0,1.0,0.0,0.0
8,1,1,109,0,5,1,1.0,1.0,0.0,0.0
5,1,1,335,0,5,1,1.0,1.0,0.0,0.0
8,1,1,117,0,5,1,1.0,1.0,0.0,0.0
8,1,1,77,0,5,1,1.0,1.0,0.0,0.0
8,1,1,147,0,5,1,1.0,1.0,0.0,0.0
10,1,1,146,0,5,0,1.0,1.0,0.0,0.0
10,1,1,295,0,5,0,1.0,1.0,0.0,0.0
5,1,1,316,0,5,1,1.0,1.0,0.0,0.0
10,1,1,323,0,5,0,1.0,1.0,0.0,0.0
8,1,1,132,0,5,1,1.0,1.0,0.0,0.0
10,1,1,131,0,5,0,1.0,1.0,0.0,0.0
8,1,1,78,0,5,1,1.0,1.0,0.0,0.0
10,1,1,103,0,5,0,1.0,1.0,0.0,0.0
5,1,1,308,0,5,1,1.0,1.0,0.0,0.0
8,1,1,149,0,5,1,1.0,1.0,0.0,0.0
10,1,1,327,0,5,0,1.0,1.0,0.0,0.0
10,1,1,314,0,5,0,1.0,1.0,0.0,0.0
10,1,1,127,0,5,0,1.0,1.0,0.0,0.0
8,1,1,83,0,5,1,1.0,1.0,0.0,0.0
10,1,1,304,0,5,0,1.0,1.0,0.0,0.0
10,1,1,134,0,5,0,1.0,1.0,0.0,0.0
10,1,1,108,0,5,0,1.0,1.0,0.0,0.0
8,1,1,129,0,5,1,1.0,1.0,0.0,0.0
8,1,1,135,0,5,1,1.0,1.0,0.0,0.0
10,1,1,141,0,5,0,1.0,1.0,0.0,0.0
10,1,1,312,0,5,0,1.0,1.0,0.0,0.0
10,1,1,130,0,5,0,1.0,1.0,0.0,0.0
10,1,1,332,0,5,0,1.0,1.0,0.0,0.0
8,1,1,126,0,5,1,1.0,1.0,0.0,0.0
10,1,1,293,0,5,0,1.0,1.0,0.0,0.0
10,1,1,305,0,5,0,1.0,1.0,0.0,0.0
10,1,1,128,0,5,0,1.0,1.0,0.0,0.0
10,1,1,297,0,5,0,1.0,1.0,0.0,0.0
10,1,1,313,0,5,0,1.0,1.0,0.0,0.0
8,1,1,103,0,5,1,1.0,1.0,0.0,0.0
5,1,1,132,0,5,1,1.0,1.0,0.0,0.0
8,1,1,91,0,5,1,1.0,1.0,0.0,0.0
10,1,1,340,0,5,0,1.0,1.0,0.0,0.0
10,1,1,330,0,5,0,1.0,1.0,0.0,0.0
10,1,1,132,0,5,0,1.0,1.0,0.0,0.0
10,1,1,321,0,5,0,1.0,1.0,0.0,0.0
8,1,1,107,0,5,1,1.0,1.0,0.0,0.0
5,1,1,312,0,5,1,1.0,1.0,0.0,0.0
10,1,1,299,0,5,0,1.0,1.0,0.0,0.0
8,1,1,145,0,5,1,1.0,1.0,0.0,0.0
10,1,1,112,0,5,0,1.0,1.0,0.0,0.0
10,1,1,333,0,5,0,1.0,1.0,0.0,0.0
10,1,1,149,0,5,0,1.0,1.0,0.0,0.0
10,1,1,133,0,5,0,1.0,1.0,0.0,0.0
5,1,1,322,0,5,1,1.0,1.0,0.0,0.0
10,1,1,135,0,5,0,1.0,1.0,0.0,0.0
10,1,1,329,0,5,0,1.0,1.0,0.0,0.0
10,1,1,148,0,5,0,1.0,1.0,0.0,0.0
0,1,1,325,0,5,0,1.0,1.0,0.0,0.0
8,1,1,321,0,5,1,1.0,1.0,0.0,0.0
10,1,1,337,0,5,0,1.0,1.0,0.0,0.0
5,1,1,134,0,5,1,1.0,1.0,0.0,0.0
10,1,1,316,0,5,0,1.0,1.0,0.0,0.0
10,1,1,350,0,5,0,1.0,1.0,0.0,0.0
10,1,1,106,0,5,0,1.0,1.0,0.0,0.0
4,1,1,115,0,5,1,1.0,1.0,0.0,0.0
4,1,1,107,0,5,1,1.0,1.0,0.0,0.0
4,1,1,95,0,5,1,1.0,1.0,0.0,0.0
4,1,1,111,0,5,1,1.0,1.0,0.0,0.0
5,1,1,313,0,5,1,1.0,1.0,0.0,0.0
4,1,1,91,0,5,1,1.0,1.0,0.0,0.0
0,1,1,123,0,5,0,1.0,1.0,0.0,0.0
10,1,1,107,0,5,0,1.0,1.0,0.0,0.0
4,1,1,123,0,5,1,1.0,1.0,0.0,0.0
4,1,1,318,0,5,1,1.0,1.0,0.0,0.0
0,1,1,67,0,5,0,1.0,1.0,0.0,0.0
4,1,1,125,0,5,1,1.0,1.0,0.0,0.0
4,1,1,153,0,5,1,1.0,1.0,0.0,0.0
0,1,1,83,0,5,0,1.0,1.0,0.0,0.0
4,1,1,75,0,5,1,1.0,1.0,0.0,0.0
0,1,1,84,0,5,0,1.0,1.0,0.0,0.0
4,1,1,55,0,5,1,1.0,1.0,0.0,0.0
4,1,1,56,0,5,1,1.0,1.0,0.0,0.0
0,1,1,68,0,5,0,1.0,1.0,0.0,0.0
0,1,1,138,0,5,0,1.0,1.0,0.0,0.0
4,1,1,130,0,5,1,1.0,1.0,0.0,0.0
4,1,1,122,0,5,1,1.0,1.0,0.0,0.0
5,1,1,270,0,5,1,1.0,1.0,0.0,0.0
10,1,1,56,0,5,0,1.0,1.0,0.0,0.0
4,1,1,76,0,5,1,1.0,1.0,0.0,0.0
4,1,1,139,0,5,1,1.0,1.0,0.0,0.0
5,1,1,304,0,5,1,1.0,1.0,0.0,0.0
5,1,1,118,0,5,1,1.0,1.0,0.0,0.0
5,1,1,324,0,5,1,1.0,1.0,0.0,0.0
5,1,1,136,0,5,1,1.0,1.0,0.0,0.0
5,1,1,135,0,5,1,1.0,1.0,0.0,0.0
0,1,1,113,0,5,0,1.0,1.0,0.0,0.0
5,1,1,294,0,5,1,1.0,1.0,0.0,0.0
10,1,1,105,0,5,0,1.0,1.0,0.0,0.0
4,1,1,140,0,5,1,1.0,1.0,0.0,0.0
5,1,1,337,0,5,1,1.0,1.0,0.0,0.0
5,1,1,295,0,5,1,1.0,1.0,0.0,0.0
10,1,1,93,0,5,0,1.0,1.0,0.0,0.0
5,1,1,105,0,5,1,1.0,1.0,0.0,0.0
5,1,1,152,0,5,1,1.0,1.0,0.0,0.0
5,1,1,110,0,5,1,1.0,1.0,0.0,0.0
5,1,1,279,0,5,1,1.0,1.0,0.0,0.0
5,1,1,325,0,5,1,1.0,1.0,0.0,0.0
5,1,1,278,0,5,1,1.0,1.0,0.0,0.0
10,1,1,120,0,5,0,1.0,1.0,0.0,0.0
10,1,1,81,0,5,0,1.0,1.0,0.0,0.0
5,1,1,124,0,5,1,1.0,1.0,0.0,0.0
4,1,1,146,0,5,1,1.0,1.0,0.0,0.0
5,1,1,98,0,5,1,1.0,1.0,0.0,0.0
0,1,1,73,0,5,0,1.0,1.0,0.0,0.0
4,1,1,110,0,5,1,1.0,1.0,0.0,0.0
4,1,1,69,0,5,1,1.0,1.0,0.0,0.0
0,1,1,97,0,5,0,1.0,1.0,0.0,0.0
5,1,1,333,0,5,1,1.0,1.0,0.0,0.0
10,1,1,61,0,5,0,1.0,1.0,0.0,0.0
4,1,1,141,0,5,1,1.0,1.0,0.0,0.0
10,1,1,280,0,5,0,1.0,1.0,0.0,0.0
4,1,1,307,0,5,1,1.0,1.0,0.0,0.0
4,1,1,94,0,5,1,1.0,1.0,0.0,0.0
5,1,1,142,0,5,1,1.0,1.0,0.0,0.0
4,1,1,89,0,5,1,1.0,1.0,0.0,0.0
4,1,1,129,0,5,1,1.0,1.0,0.0,0.0
5,1,1,314,0,5,1,1.0,1.0,0.0,0.0
10,1,1,145,0,5,0,1.0,1.0,0.0,0.0
5,1,1,119,0,5,1,1.0,1.0,0.0,0.0
4,1,1,149,0,5,1,1.0,1.0,0.0,0.0
0,1,1,89,0,5,0,1.0,1.0,0.0,0.0
5,1,1,327,0,5,1,1.0,1.0,0.0,0.0
5,1,1,137,0,5,1,1.0,1.0,0.0,0.0
10,1,1,63,0,5,0,1.0,1.0,0.0,0.0
5,1,1,121,0,5,1,1.0,1.0,0.0,0.0
0,1,1,93,0,5,0,1.0,1.0,0.0,0.0
5,1,1,85,0,5,1,1.0,1.0,0.0,0.0
5,1,1,102,0,5,1,1.0,1.0,0.0,0.0
10,1,1,110,0,5,0,1.0,1.0,0.0,0.0
5,1,1,285,0,5,1,1.0,1.0,0.0,0.0
10,1,1,55,0,5,0,1.0,1.0,0.0,0.0
5,1,1,111,0,5,1,1.0,1.0,0.0,0.0
4,1,1,325,0,5,1,1.0,1.0,0.0,0.0
10,1,1,75,0,5,0,1.0,1.0,0.0,0.0
5,1,1,127,0,5,1,1.0,1.0,0.0,0.0
5,1,1,133,0,5,1,1.0,1.0,0.0,0.0
4,1,1,142,0,5,1,1.0,1.0,0.0,0.0
5,1,1,126,0,5,1,1.0,1.0,0.0,0.0
5,1,1,138,0,5,1,1.0,1.0,0.0,0.0
10,1,1,322,0,5,0,1.0,1.0,0.0,0.0
5,1,1,271,0,5,1,1.0,1.0,0.0,0.0
5,1,1,107,0,5,1,1.0,1.0,0.0,0.0
5,1,1,336,0,5,1,1.0,1.0,0.0,0.0
10,1,1,117,0,5,0,1.0,1.0,0.0,0.0
10,1,1,126,0,5,0,1.0,1.0,0.0,0.0
5,1,1,281,0,5,1,1.0,1.0,0.0,0.0
5,1,1,252,0,5,1,1.0,1.0,0.0,0.0
10,1,1,119,0,5,0,1.0,1.0,0.0,0.0
5,1,1,309,0,5,1,1.0,1.0,0.0,0.0
4,1,1,132,0,5,1,1.0,1.0,0.0,0.0
4,1,1,144,0,5,1,1.0,1.0,0.0,0.0
5,1,1,114,0,5,1,1.0,1.0,0.0,0.0
4,1,1,82,0,5,1,1.0,1.0,0.0,0.0
5,1,1,323,0,5,1,1.0,1.0,0.0,0.0
10,1,1,354,0,5,0,1.0,1.0,0.0,0.0
5,1,1,301,0,5,1,1.0,1.0,0.0,0.0
5,1,1,140,0,5,1,1.0,1.0,0.0,0.0
0,1,1,109,0,5,0,1.0,1.0,0.0,0.0
10,1,1,339,0,5,0,1.0,1.0,0.0,0.0
4,1,1,333,0,5,1,1.0,1.0,0.0,0.0
5,1,1,280,0,5,1,1.0,1.0,0.0,0.0
5,1,1,321,0,5,1,1.0,1.0,0.0,0.0
10,1,1,125,0,5,0,1.0,1.0,0.0,0.0
5,1,1,319,0,5,1,1.0,1.0,0.0,0.0
5,1,1,330,0,5,1,1.0,1.0,0.0,0.0
5,1,1,342,0,5,1,1.0,1.0,0.0,0.0
5,1,1,141,0,5,1,1.0,1.0,0.0,0.0
5,1,1,293,0,5,1,1.0,1.0,0.0,0.0
10,1,1,118,0,5,0,1.0,1.0,0.0,0.0
5,1,1,299,0,5,1,1.0,1.0,0.0,0.0
4,1,1,143,0,5,1,1.0,1.0,0.0,0.0
5,1,1,139,0,5,1,1.0,1.0,0.0,0.0
5,1,1,130,0,5,1,1.0,1.0,0.0,0.0
5,1,1,123,0,5,1,1.0,1.0,0.0,0.0
5,1,1,129,0,5,1,1.0,1.0,0.0,0.0
5,1,1,292,0,5,1,1.0,1.0,0.0,0.0
5,1,1,128,0,5,1,1.0,1.0,0.0,0.0
5,1,1,143,0,5,1,1.0,1.0,0.0,0.0
10,1,1,123,0,5,0,1.0,1.0,0.0,0.0
5,1,1,284,0,5,1,1.0,1.0,0.0,0.0
10,1,1,114,0,5,0,1.0,1.0,0.0,0.0
5,1,1,315,0,5,1,1.0,1.0,0.0,0.0
4,1,1,344,0,5,1,1.0,1.0,0.0,0.0
5,1,1,131,0,5,1,1.0,1.0,0.0,0.0
4,1,1,120,0,5,1,1.0,1.0,0.0,0.0
5,1,1,106,0,5,1,1.0,1.0,0.0,0.0
4,1,1,81,0,5,1,1.0,1.0,0.0,0.0
4,1,1,324,0,5,1,1.0,1.0,0.0,0.0
5,1,1,345,0,5,1,1.0,1.0,0.0,0.0
5,1,1,125,0,5,1,1.0,1.0,0.0,0.0
10,1,1,64,0,5,0,1.0,1.0,0.0,0.0
5,1,1,350,0,5,1,1.0,1.0,0.0,0.0
10,1,1,109,0,5,0,1.0,1.0,0.0,0.0
5,1,1,320,0,5,1,1.0,1.0,0.0,0.0
4,1,1,101,0,5,1,1.0,1.0,0.0,0.0
10,1,1,121,0,5,0,1.0,1.0,0.0,0.0
10,1,1,136,0,5,0,1.0,1.0,0.0,0.0
5,1,1,310,0,5,1,1.0,1.0,0.0,0.0
0,1,1,147,0,5,0,1.0,1.0,0.0,0.0
4,1,1,136,0,5,1,1.0,1.0,0.0,0.0
10,1,1,137,0,5,0,1.0,1.0,0.0,0.0
5,1,1,303,0,5,1,1.0,1.0,0.0,0.0
4,1,1,305,0,5,1,1.0,1.0,0.0,0.0
4,1,1,127,0,5,1,1.0,1.0,0.0,0.0
5,1,1,341,0,5,1,1.0,1.0,0.0,0.0
4,1,1,80,0,5,1,1.0,1.0,0.0,0.0
5,1,1,331,0,5,1,1.0,1.0,0.0,0.0
5,1,1,122,0,5,1,1.0,1.0,0.0,0.0
10,1,1,24,0,5,0,1.0,1.0,0.0,0.0
4,1,1,599,0,5,1,1.0,1.0,0.0,0.0
10,1,1,30,0,5,0,1.0,1.0,0.0,0.0
4,1,1,209,0,5,1,1.0,1.0,0.0,0.0
4,1,1,78,0,5,1,1.0,1.0,0.0,0.0
